created_at,moderator,action,target_type,target_id,details,report_id
2025-10-07 17:04:59,alex,ban_delete,post,27,Бан на 60 минут: 1.1 Правил проекта,8
2025-10-07 16:58:15,alex,ban,post,27,Бан на 1 минут: тест,6
